规格	英文飞船名	中文飞船名	定位	官网状态	价格USD	来源	备注	隐藏标签	图片路径
小型	Nomad	联合外域 游牧者	Multi-role / Starter	可飞	80	官网小型页 6.html			Data\ShipImages\nomad.jpg
小型	Nova	盾博尔 新星	Ground / Combat	可飞	120	官网小型页 6.html		vehicle	Data\ShipImages\nova.jpg
小型	Nox	奥波亚 Nox	Competition / Racing	可飞	45	官网小型页 6.html		vehicle	Data\ShipImages\nox.jpg
小型	Nox Kue	奥波亚 Nox Kue	Competition / Racing	可飞	45	官网小型页 6.html		vehicle	Data\ShipImages\nox-kue.jpeg
小型	P-52 Merlin	克鲁格 P-52 梅林	Combat / Snub Fighter	可飞	25	官网小型页 6.html		vehicle	Data\ShipImages\p-52-merlin.jpg
小型	P-72 Archimedes	克鲁格 P-72 阿基米德	Competition / Racing	可飞	35	官网小型页 6.html		vehicle	Data\ShipImages\p-72-archimedes.jpg
小型	P-72 Archimedes Emerald	克鲁格 P-72 阿基米德 翡翠绿	Competition / Racing	可飞	40	官网小型页 6.html		vehicle	Data\ShipImages\p-72-archimedes-emerald.jpg
小型	Pitbull	德雷克 斗牛犬	Combat / Snub Fighter	可飞	55	官网小型页 6.html			Data\ShipImages\pitbull.jpg
小型	Prospector	武藏 勘探者	Industrial / Prospecting / Mining	可飞	155	官网小型页 6.html			Data\ShipImages\prospector.jpg
小型	PTV	灰猫 PTV	Ground / Touring	可飞	15	官网小型页 6.html		vehicle	Data\ShipImages\ptv.jpg
小型	Pulse	未来 脉冲 LX	Ground / Combat	可飞	30	官网小型页 6.html		vehicle	Data\ShipImages\pulse.jpg
小型	Pulse LX	未来 脉冲 LX	Ground / Racing	可飞	30	官网小型页 6.html		vehicle	Data\ShipImages\pulse-lx.jpg
小型	Ranger CV	盾博尔 游骑兵 CV	Ground / Touring	概念	35	官网小型页 6.html		vehicle	Data\ShipImages\ranger-cv.jpg
小型	Ranger RC	盾博尔 游骑兵 RC	Ground / Racing	概念	35	官网小型页 6.html		vehicle	Data\ShipImages\ranger-rc.jpg
小型	Ranger TR	盾博尔 游骑兵 TR	Ground / Combat	概念	40	官网小型页 6.html		vehicle	Data\ShipImages\ranger-tr.jpg
小型	Razor	未来 剃刀 LX	Competition / Racing	可飞	145	官网小型页 6.html			Data\ShipImages\razor.jpg
小型	Razor EX	未来 剃刀 EX	Competition / Stealth	可飞	155	官网小型页 7.html			Data\ShipImages\razor-ex.jpg
小型	Razor LX	未来 剃刀 LX	Competition / Luxury	可飞	150	官网小型页 7.html			Data\ShipImages\razor-lx.jpg
小型	Reliant Kore	武藏 信赖 基础	Multi-role / Starter / Light Freight	可飞	65	官网小型页 7.html			Data\ShipImages\reliant-kore.jpg
小型	Reliant Mako	武藏 信赖 新闻	Support / Reporting	可飞	95	官网小型页 7.html			Data\ShipImages\reliant-mako.jpg
小型	Reliant Sen	武藏 信赖 科考	Industrial / Light Science	可飞	85	官网小型页 7.html			Data\ShipImages\reliant-sen.jpg
小型	Reliant Tana	武藏 信赖 武装	Combat / Light Fighter	可飞	75	官网小型页 7.html			Data\ShipImages\reliant-tana.jpg
小型	ROC	灰猫 ROC	Industrial / Mining	可飞	55	官网小型页 7.html		vehicle	Data\ShipImages\roc.jpg
小型	ROC-DS	灰猫 ROC-双人版	Industrial / Mining	可飞	75	官网小型页 7.html			Data\ShipImages\roc-ds.jpg
小型	Sabre	圣盾 军刀	Combat / Stealth Fighter	可飞	175	官网小型页 7.html			Data\ShipImages\sabre.jpeg
小型	Sabre Comet	圣盾 军刀 彗星	Combat / Medium Fighter	可飞	185	官网小型页 7.html			Data\ShipImages\sabre-comet.jpg
小型	Sabre Peregrine	圣盾 军刀 游隼	Competition / Racing	可飞	185	官网小型页 7.html			Data\ShipImages\sabre-peregrine.jpg
小型	Sabre Raven	圣盾 军刀 渡鸦	Combat / Interdiction	可飞	200	官网小型页 7.html			Data\ShipImages\sabre-raven.jpg
小型	Salvation	RSI 拯救	Industrial / Light Salvage	可飞	60	官网小型页 7.html			Data\ShipImages\salvation.jpg
小型	Scorpius	RSI 天蝎座	Combat / Heavy Fighter	可飞	240	官网小型页 7.html			Data\ShipImages\scorpius.jpg
小型	Scorpius Antares	RSI 天蝎座 蝎心	Combat / Heavy Fighter	可飞	230	官网小型页 7.html			Data\ShipImages\scorpius-antares.jpg
小型	Scythe	剜度 死镰	Combat / Medium Fighter	可飞	300	官网小型页 7.html			Data\ShipImages\scythe.jpg
小型	Shiv	格雷 锈刃	Combat / Heavy Fighter	可飞	150	官网小型页 7.html	Grey's Market；内部代码 GLSN_Shiv		Data\ShipImages\shiv.jpg
小型	Spartan	铁砧 斯巴达	Ground / Transport	可飞	80	官网小型页 7.html		vehicle	Data\ShipImages\spartan.jpg
小型	SRV	南船座 SRV	Support / Recovery	可飞	165	官网小型页 7.html			Data\ShipImages\srv.jpg
小型	Starlite	武藏 星光	Support / Light Refueler	可飞	60	官网小型页 7.html			Data\ShipImages\starlite.jpg
小型	Storm	盾博尔 风暴	Ground / Combat Support	可飞	90	官网小型页 8.html		vehicle	Data\ShipImages\storm.jpg
小型	Storm AA	盾博尔 风暴 AA	Ground / Combat Support	可飞	100	官网小型页 8.html		vehicle	Data\ShipImages\storm-aa.jpg
小型	STV	灰猫 STV	Ground / Transport	可飞	40	官网小型页 8.html			Data\ShipImages\stv.jpg
小型	Syulen	盖塔克 速伦	Multi-role / Starter	可飞	70	官网小型页 8.html			Data\ShipImages\syulen.jpg
小型	Talon	埃斯佩里亚 利爪	Combat / Light Fighter	可飞	115	官网小型页 8.html			Data\ShipImages\talon.jpg
小型	Talon Shrike	埃斯佩里亚 利爪 伯劳	Combat / Light Fighter	可飞	115	官网小型页 8.html			Data\ShipImages\talon-shrike.jpg
小型	Terrapin	铁砧 水龟	Exploration / Pathfinder	可飞	220	官网小型页 8.html			Data\ShipImages\terrapin.jpg
小型	Terrapin Medic	铁砧 水龟 医疗	Support / Medical	可飞	220	官网小型页 8.html			Data\ShipImages\terrapin-medic.jpg
小型	Ursa	RSI 大熊座	Ground / Exploration	可飞	50	官网小型页 8.html		vehicle	Data\ShipImages\ursa.jpg
小型	Ursa Fortuna	RSI 大熊座 福尔图娜	Ground / Exploration	可飞	55	官网小型页 8.html		vehicle	Data\ShipImages\ursa-fortuna.jpg
小型	Ursa Medivac	RSI 大熊座 医疗	Ground / Ambulance	可飞	60	官网小型页 8.html		vehicle	Data\ShipImages\ursa-medivac.jpg
小型	UTV	灰猫 UTV	Ground / Transporter	可飞	40	官网小型页 8.html		vehicle	Data\ShipImages\utv.jpg
小型	Valkyrie	铁砧 女武神	Combat / Dropship	可飞	375	官网小型页 8.html			Data\ShipImages\valkyrie.jpg
小型	Valkyrie Liberator Edition	铁砧 女武神 解放者	Combat / Dropship	可飞	375	官网小型页 8.html			Data\ShipImages\valkyrie-liberator-edition.png
小型	Vulture	德雷克 秃鹫	Industrial / Light Salvage	可飞	175	官网小型页 8.html			Data\ShipImages\vulture.jpg
小型	X1	起源 X1 竞速	Exploration / Touring	可飞	45	官网小型页 8.html		vehicle	Data\ShipImages\x1.jpg
小型	X1 Force	起源 X1 武装	Exploration / Combat	可飞	55	官网小型页 8.html		vehicle	Data\ShipImages\x1-force.jpg
小型	X1 Velocity	起源 X1 竞速	Competition / Racing	可飞	50	官网小型页 8.html		vehicle	Data\ShipImages\x1-velocity.jpg
